id;card_number;transaction_date;value;segment
CTID70923033;3140-6494-9869-5893;19/09/2016;40837;SEG13
CTID90508994;5175-8965-9249-9021;22/05/2016;24805;SEG11
CTID52843489;1629-9566-3285-2123;16/01/2016;48307;SEG17
CTID44543315;3196-5064-6247-7113;03/03/2016;29216;SEG17
CTID35725590;8783-7271-8493-7931;19/03/2016;42794;SEG20
CTID53787315;8869-7604-9618-3740;19/06/2016;14320;SEG11
CTID39919953;6617-5782-1394-1632;02/09/2016;29525;SEG11
CTID65663686;7677-5937-2671-3687;04/05/2016;49488;SEG16
CTID50558449;4246-1369-3659-8804;06/05/2016;6984;SEG23
CTID91780820;4610-9984-7768-4610;07/02/2016;692;SEG11
CTID41830600;8769-1185-5731-6569;25/10/2016;27787;SEG12
CTID65915545;1438-6906-2509-8219;17/10/2016;8022;SEG22
CTID30116647;3708-8801-1521-8042;28/10/2016;29076;SEG25
CTID87623994;8578-3662-1951-5720;18/03/2016;9421;SEG23
CTID84270730;5283-6135-5709-4452;11/12/2016;28644;SEG18
CTID50143807;7966-2894-6066-2530;16/05/2016;22375;SEG21
CTID30189023;1749-4777-2532-7766;23/07/2016;40209;SEG11
CTID54999800;6385-4594-8055-9081;20/12/2016;26707;SEG16
CTID41909175;6258-3903-6637-5620;29/03/2016;22281;SEG25
CTID91649543;8106-9789-1679-2552;16/07/2016;42813;SEG25
CTID21139336;3970-3872-2591-7629;06/03/2016;33627;SEG14
CTID27591627;6514-4444-5642-2615;04/12/2016;15317;SEG24
CTID51286588;6085-9783-3284-2783;25/12/2016;16064;SEG13
CTID83008873;6258-3903-6637-5620;18/06/2016;6739;SEG25
CTID76945955;3458-8126-3660-8686;18/03/2016;15807;SEG16
CTID75986316;5591-5619-8809-5454;10/04/2016;49259;SEG25
CTID17469133;4819-6940-5506-8061;21/03/2016;24231;SEG11
CTID95635465;3405-7202-8402-5988;25/10/2016;33486;SEG12
CTID65438518;3544-7836-9589-7635;02/09/2016;31353;SEG13
CTID15442130;3594-2190-6052-1265;17/05/2016;35852;SEG21
CTID46365299;5349-1963-8417-8327;23/04/2016;34090;SEG25
CTID19451148;7908-3850-6633-2606;16/08/2016;7743;SEG18
CTID62140956;5590-1294-8800-2874;19/06/2016;41228;SEG13
CTID13020269;9304-8255-4381-2028;14/02/2016;2667;SEG21
CTID64575273;9157-2802-8374-1145;08/11/2016;2418;SEG17
CTID80396057;1187-8674-2708-3972;20/12/2016;46212;SEG24
CTID44242497;3440-3330-5015-4988;11/02/2016;21350;SEG12
CTID13823565;4262-7103-6508-4214;15/11/2016;23886;SEG20
CTID73092320;5619-4425-5473-6565;13/06/2016;14050;SEG17
CTID98838546;2046-1892-2379-9050;09/06/2016;8199;SEG20
CTID90565262;2992-8127-2278-9771;12/11/2016;4093;SEG19
CTID79929631;2422-2354-4628-4556;28/02/2016;8958;SEG18
CTID23946761;7708-8807-7837-8812;26/02/2016;799;SEG14
CTID12303087;7658-7645-4568-1461;13/11/2016;26431;SEG12
CTID83705853;1259-5241-3561-1773;21/12/2016;3861;SEG16
CTID93893582;7276-7349-6334-3809;15/02/2016;7709;SEG21
CTID75411359;3001-2844-6540-3608;21/01/2016;4223;SEG19
CTID88529229;8115-7743-6213-9284;05/08/2016;28528;SEG13
CTID33921395;2264-2870-6785-2725;07/03/2016;47877;SEG25
CTID43355946;1235-8656-9164-2644;06/08/2016;37494;SEG11
CTID61789528;6540-2862-2962-5109;08/09/2016;934;SEG25
CTID90824629;1585-2708-4693-1454;24/06/2016;10339;SEG14
CTID75958813;6025-2610-4001-6680;18/04/2016;460;SEG19
CTID32765855;5533-2042-7236-9790;14/07/2016;16426;SEG25
CTID74195846;8691-3939-1859-5937;14/08/2016;42144;SEG19
CTID12997336;3697-6001-4909-5350;25/08/2016;8076;SEG25
CTID48358803;2893-7786-7528-2338;13/07/2016;29739;SEG25
CTID31895189;9458-1130-5333-6475;01/12/2016;44822;SEG16
CTID74583185;8869-7604-9618-3740;29/07/2016;6126;SEG19
CTID47991566;8578-3662-1951-5720;17/03/2016;5910;SEG22
CTID13376450;1355-1728-8274-9593;06/02/2016;30490;SEG16
CTID75163586;8836-7078-5752-6312;18/10/2016;37933;SEG21
CTID21977092;6272-7021-2748-1471;31/12/2016;8509;SEG25
CTID48926797;9310-6095-5617-9905;04/07/2016;38288;SEG18
CTID33048584;1123-9777-7335-9167;04/03/2016;34653;SEG12
CTID24864485;8052-5734-6162-9591;02/07/2016;17364;SEG16
CTID56494020;5556-4557-4566-1540;07/01/2016;28517;SEG23
CTID27779169;8467-5358-5569-3718;31/08/2016;3698;SEG19
CTID70744813;8031-9022-9952-9605;25/01/2016;32301;SEG16
CTID30191214;7837-4036-5999-1672;10/09/2016;4733;SEG20
CTID52649010;8138-6235-7062-6142;01/02/2016;36457;SEG13
CTID12126014;7168-9862-2659-8550;24/09/2016;12837;SEG22
CTID34518385;8725-3610-8060-2617;15/08/2016;12587;SEG22
CTID69100100;6315-7338-3105-9947;19/07/2016;4087;SEG21
CTID35756391;5814-6146-3149-1775;05/03/2016;17776;SEG25
CTID85896280;4818-7275-3513-3939;05/07/2016;38297;SEG23
CTID19839345;5811-4353-3490-5513;18/05/2016;11862;SEG22
CTID94998392;2911-7555-3093-9231;23/10/2016;5919;SEG24
CTID16322007;6148-9835-7115-4405;14/11/2016;25241;SEG21
CTID75607282;1893-8853-9900-8478;02/06/2016;25764;SEG11
CTID58554308;5206-5979-9383-4538;08/11/2016;17289;SEG20
CTID35703242;5778-9566-9086-7555;24/02/2016;27347;SEG12
CTID96560832;3170-4662-9297-6384;04/04/2016;38074;SEG22
CTID88461344;2056-7091-8023-1914;15/08/2016;20862;SEG16
CTID28444473;9304-4488-7872-2868;09/01/2016;31469;SEG25
CTID61555638;1825-7669-6621-9045;07/01/2016;7154;SEG13
CTID23587070;1481-2536-2178-7547;14/07/2016;21366;SEG22
CTID99068121;2116-6906-9722-9824;02/05/2016;26449;SEG25
CTID94969373;1693-2036-4352-9386;31/03/2016;9748;SEG13
CTID17733602;4349-5976-1214-5524;25/09/2016;45332;SEG11
CTID25573916;4646-8260-8197-7078;25/01/2016;34588;SEG16
CTID49999419;8757-6814-8721-3839;12/06/2016;13153;SEG20
CTID55773811;3001-2844-6540-3608;19/10/2016;10580;SEG14
CTID99177828;2595-8621-2855-9119;08/05/2016;24989;SEG21
CTID61562561;4818-7275-3513-3939;28/02/2016;19103;SEG18
CTID47844980;9391-7086-9113-4893;23/03/2016;1556;SEG25
CTID13611468;1782-5331-5899-1813;30/05/2016;25991;SEG14
CTID17823791;7662-3108-4951-8587;07/03/2016;12460;SEG22
CTID44725599;4203-2936-4855-8802;08/01/2016;26731;SEG11
CTID60768509;4092-8604-7363-3393;15/10/2016;34236;SEG23
CTID12416592;8614-1547-9524-8444;01/10/2016;11085;SEG24
CTID85625581;4933-8895-6001-8577;02/10/2016;31949;SEG18
CTID20690481;3380-5311-6073-9478;17/12/2016;6539;SEG14
CTID57279911;3313-4024-5109-8235;24/04/2016;25045;SEG13
CTID13393523;5018-8635-8433-6614;01/11/2016;21890;SEG23
CTID61412164;2535-9251-5633-3656;20/03/2016;40794;SEG24
CTID50439096;4203-2936-4855-8802;26/07/2016;16334;SEG15
CTID32605313;4661-5769-5059-2114;10/07/2016;49544;SEG15
CTID98805399;5616-5526-4836-1962;10/10/2016;5785;SEG22
CTID23815030;3323-8332-7133-7008;13/09/2016;15582;SEG15
CTID79576450;5960-5753-3689-8262;14/05/2016;31454;SEG21
CTID80817022;6321-2048-7733-8765;24/05/2016;20072;SEG20
CTID18918004;8578-3662-1951-5720;25/03/2016;24279;SEG20
CTID37642297;6171-3568-7740-8072;02/07/2016;30931;SEG12
CTID56840521;2046-1892-2379-9050;17/11/2016;20234;SEG20
CTID72636226;4427-5380-8182-9668;15/11/2016;10310;SEG23
CTID28267863;3170-4662-9297-6384;20/09/2016;7211;SEG12
CTID79611141;6492-5655-8241-3530;10/11/2016;40319;SEG17
CTID29551810;6994-7925-9044-3458;17/07/2016;28721;SEG19
CTID64251442;2017-7197-7814-9950;09/10/2016;18011;SEG25
CTID37175733;7708-8807-7837-8812;04/05/2016;24988;SEG25
CTID20396477;4818-7275-3513-3939;10/01/2016;30876;SEG22
CTID20122867;7296-3224-2880-5747;13/03/2016;38144;SEG18
CTID23031292;7168-9862-2659-8550;02/11/2016;8467;SEG20
CTID35472129;5731-9804-7859-1641;21/02/2016;35341;SEG20
CTID55936882;1336-9200-1264-2551;29/11/2016;34367;SEG21
CTID11604363;8305-2272-4553-4911;22/02/2016;35291;SEG16
CTID33305453;7224-9964-4793-3939;08/08/2016;43458;SEG14
CTID19610434;7908-8365-2086-2481;02/08/2016;5013;SEG13
CTID22764343;9843-6858-7863-1891;26/08/2016;43557;SEG11
CTID81542740;7299-3529-7767-1695;03/04/2016;27320;SEG19
CTID59764726;5616-5526-4836-1962;25/08/2016;4195;SEG13
CTID77948981;5984-2442-3351-3695;14/07/2016;19768;SEG15
CTID70316797;2764-7023-8396-5255;16/03/2016;37233;SEG20
CTID13984820;6479-5593-2105-9060;30/01/2016;42559;SEG25
CTID90027280;5175-8965-9249-9021;19/09/2016;21967;SEG15
CTID18222382;7416-4529-6690-5703;03/06/2016;21563;SEG25
CTID13057728;6075-5795-3555-1281;07/10/2016;7836;SEG19
CTID52533613;3168-6552-9936-1500;12/01/2016;22358;SEG18
CTID37574090;1559-8764-1659-4317;05/11/2016;48647;SEG11
CTID61925875;2447-6299-5016-4953;21/05/2016;2496;SEG16
CTID15241575;1616-5911-1676-5466;31/10/2016;18080;SEG17
CTID32171893;5592-8244-5701-5100;18/03/2016;1440;SEG12
CTID62525966;2893-7786-7528-2338;06/06/2016;30226;SEG19
CTID69605488;6321-2048-7733-8765;15/01/2016;27387;SEG22
CTID22674277;9386-8854-6115-4075;24/11/2016;14525;SEG19
CTID68117922;8066-8437-2479-2481;28/04/2016;9327;SEG16
CTID94424844;7504-5906-9389-8905;24/07/2016;38180;SEG20
CTID46567540;8467-5358-5569-3718;01/02/2016;35203;SEG21
CTID62363787;6025-2610-4001-6680;13/05/2016;8781;SEG24
CTID95703581;4864-7119-5608-7611;21/12/2016;42613;SEG22
CTID12596740;6042-2856-7280-2925;30/11/2016;30370;SEG15
CTID72228862;7290-4771-9163-1291;05/07/2016;12397;SEG25
CTID53344391;8486-4186-7122-3452;03/08/2016;44071;SEG22
CTID50717550;9161-8723-1217-5269;30/12/2016;44585;SEG24
CTID62780951;9369-6196-2597-1730;11/06/2016;10374;SEG25
CTID24362182;8951-3220-4809-9797;03/07/2016;46083;SEG11
CTID37223243;7900-3001-7632-4005;04/02/2016;18853;SEG17
CTID55242397;5591-5619-8809-5454;25/08/2016;9006;SEG23
CTID84471784;6765-2732-8888-1318;20/12/2016;28984;SEG24
CTID17151903;2595-7800-1142-5225;09/04/2016;2850;SEG24
CTID63229719;3458-8126-3660-8686;28/05/2016;29795;SEG14
CTID69350091;8361-7488-5303-1801;16/08/2016;10276;SEG13
CTID61255253;2264-2870-6785-2725;09/05/2016;10241;SEG23
CTID89563048;5962-5634-2696-2739;27/05/2016;17146;SEG25
CTID18768516;5984-2442-3351-3695;06/01/2016;37875;SEG22
CTID88885850;9517-7826-1862-6726;07/07/2016;27340;SEG12
CTID83294388;3313-4024-5109-8235;24/11/2016;6421;SEG17
CTID68419215;6197-7150-9163-8287;15/10/2016;6912;SEG16
CTID70663216;4973-1293-1664-2086;22/03/2016;29436;SEG16
CTID50637354;9356-9491-6534-8313;07/10/2016;35708;SEG11
CTID87252789;7141-7294-3956-4408;03/07/2016;8919;SEG15
CTID77629054;1765-4019-5141-9230;01/03/2016;19503;SEG20
CTID43380685;4937-6752-6970-3163;20/02/2016;25946;SEG22
CTID62078493;5296-2987-4365-6870;13/02/2016;49505;SEG15
CTID52345227;8031-9022-9952-9605;14/12/2016;43491;SEG12
CTID56880947;3914-1379-8974-9157;14/06/2016;48045;SEG12
CTID87881979;5144-5591-4640-2208;07/07/2016;12732;SEG18
CTID58922027;5540-8588-7666-7798;11/02/2016;31656;SEG19
CTID36538948;3114-9778-2542-3154;07/11/2016;32283;SEG20
CTID61223425;8214-9590-3044-1216;04/01/2016;3742;SEG14
CTID75811385;3167-9604-1650-2605;16/05/2016;28846;SEG16
CTID95445736;5747-7372-2770-2325;09/06/2016;7410;SEG22
CTID56697573;2495-1344-4998-6045;04/06/2016;27109;SEG24
CTID37261063;4138-5166-7490-1188;13/06/2016;16950;SEG17
CTID55806005;1355-1728-8274-9593;09/09/2016;25742;SEG22
CTID74960781;1559-8764-1659-4317;21/03/2016;46646;SEG25
CTID95613581;4587-3535-8224-4301;06/07/2016;27797;SEG12
CTID50366321;3467-4873-4196-4795;02/07/2016;49296;SEG20
CTID78874300;2595-7800-1142-5225;15/03/2016;29176;SEG13
CTID55916016;3513-5475-4629-7570;09/05/2016;3825;SEG13
CTID13529302;8249-2687-5339-2078;06/09/2016;48868;SEG22
CTID12164601;9425-1481-6545-6190;23/10/2016;29890;SEG25
CTID45974171;3698-9867-4865-5497;20/06/2016;19308;SEG14
CTID49220021;9304-8255-4381-2028;01/11/2016;44763;SEG18
CTID67981131;3544-7836-9589-7635;03/02/2016;46616;SEG12
CTID33667206;7586-6475-9618-3909;04/09/2016;41315;SEG15
CTID97208028;8135-1903-7706-2260;25/07/2016;15405;SEG20
CTID31276879;9386-8854-6115-4075;18/08/2016;5476;SEG20
CTID49169480;1259-5241-3561-1773;09/11/2016;33655;SEG22
CTID30271092;3146-4961-6964-4229;04/01/2016;13788;SEG11
CTID89585792;1449-4529-1480-3546;10/12/2016;31139;SEG24
CTID94701458;5094-8484-5014-6152;13/10/2016;27964;SEG25
CTID32725523;8793-4049-9771-8176;07/04/2016;37585;SEG11
CTID32935594;5814-6146-3149-1775;08/06/2016;638;SEG25
CTID18814238;8976-7958-2694-8171;22/02/2016;11525;SEG22
CTID41643260;7900-3001-7632-4005;27/06/2016;7186;SEG14
CTID28002072;1127-9633-2269-3119;05/07/2016;6005;SEG18
CTID57989295;5384-8278-5616-5502;04/12/2016;37941;SEG16
CTID45760792;3430-7717-8611-4878;23/03/2016;3439;SEG20
CTID31302142;2649-6876-7496-4123;10/10/2016;32421;SEG17
CTID37572303;3922-3698-6304-1975;07/11/2016;26701;SEG14
CTID81199202;5018-8635-8433-6614;30/03/2016;49698;SEG13
CTID37990100;7725-3576-5626-3317;19/08/2016;6654;SEG25
CTID87725637;7725-3576-5626-3317;18/11/2016;30462;SEG15
CTID88160445;4959-5036-1379-1303;24/12/2016;19271;SEG12
CTID85378475;4843-3880-6792-2259;17/08/2016;31787;SEG12
CTID73132593;8869-7604-9618-3740;24/08/2016;9048;SEG16
CTID90182533;4708-4407-9601-6022;24/07/2016;8630;SEG11
CTID81574346;4843-3880-6792-2259;28/09/2016;20258;SEG21
CTID90593327;8115-7743-6213-9284;05/02/2016;42697;SEG25
CTID72585499;6042-2856-7280-2925;28/06/2016;40139;SEG20
CTID69521846;8031-9022-9952-9605;30/08/2016;49338;SEG14
CTID65304804;2046-1892-2379-9050;30/03/2016;1868;SEG24
CTID77361267;4661-5769-5059-2114;01/03/2016;30621;SEG16
CTID14123376;2370-4593-4826-2349;12/06/2016;32070;SEG24
CTID53641098;2201-1387-2319-6874;29/05/2016;36149;SEG19
CTID60220521;9304-8255-4381-2028;03/01/2016;21936;SEG17
CTID84885123;9304-8255-4381-2028;30/10/2016;29230;SEG19
CTID62153504;5864-4475-3659-1440;15/07/2016;42916;SEG22
CTID91116251;3620-5235-2101-3391;23/08/2016;11513;SEG11
CTID95735172;8522-7783-9262-6673;22/04/2016;156;SEG12
CTID83363765;7430-6895-6227-4665;18/09/2016;41381;SEG20
CTID99758372;6272-7021-2748-1471;31/12/2016;48425;SEG11
CTID96816058;7725-3576-5626-3317;29/03/2016;12996;SEG22
CTID49476304;9161-8723-1217-5269;17/03/2016;49513;SEG22
CTID95097064;3748-8048-5227-8162;23/09/2016;43407;SEG21
CTID65606916;2595-8621-2855-9119;29/06/2016;28458;SEG15
CTID56217127;4783-2852-8264-4966;20/02/2016;34023;SEG12
CTID67443422;6321-2048-7733-8765;18/08/2016;35886;SEG15
CTID91791995;4783-2852-8264-4966;21/10/2016;15874;SEG25
CTID79899936;4708-4407-9601-6022;04/09/2016;48544;SEG13
CTID63762180;8528-6154-7390-5081;05/12/2016;44550;SEG15
CTID43564171;4334-6855-2003-9239;05/08/2016;11803;SEG24
CTID82645178;8522-7783-9262-6673;27/05/2016;2732;SEG18
CTID77272661;8272-7202-4112-6502;24/10/2016;8856;SEG14
CTID64031787;8069-5321-4131-7493;06/08/2016;3034;SEG25
CTID82535754;3914-1379-8974-9157;28/09/2016;39202;SEG13
CTID65434028;6575-1457-7757-9141;17/03/2016;43620;SEG24
CTID93010743;4703-4800-3443-6825;20/05/2016;20188;SEG24
CTID85157286;8839-9467-3960-3997;14/10/2016;16997;SEG24
CTID98338374;5144-5591-4640-2208;08/06/2016;43043;SEG12
CTID85827424;5674-3252-5805-3288;19/08/2016;33571;SEG11
CTID99713372;1464-1118-5953-6424;28/04/2016;9762;SEG14
CTID51422650;4040-7464-4000-3447;29/10/2016;2320;SEG16
CTID61830871;3007-2083-4197-9770;26/06/2016;7915;SEG21
CTID16681771;2649-6876-7496-4123;13/12/2016;27407;SEG18
CTID36202811;6343-7134-9888-2361;23/04/2016;45517;SEG19
CTID84926218;7382-8932-9683-9480;01/04/2016;31515;SEG16
CTID76408966;8481-9097-2828-9363;15/09/2016;16656;SEG21
CTID67907713;9302-6470-7735-6371;18/08/2016;5360;SEG18
CTID91668164;3748-8048-5227-8162;14/03/2016;45678;SEG25
CTID91294895;7377-5503-9688-7953;02/11/2016;34862;SEG13
CTID88984107;7212-8665-7734-5918;19/11/2016;29611;SEG13
CTID95556745;4093-1634-8086-4601;14/04/2016;11723;SEG18
CTID40847533;5206-5979-9383-4538;28/04/2016;37710;SEG15
CTID18673527;8685-1513-4751-8018;29/11/2016;35607;SEG11
CTID51505666;4491-2026-2441-2049;05/07/2016;30945;SEG18
CTID98408057;1655-7617-4318-5963;23/03/2016;21019;SEG21
CTID25229124;2347-2804-9899-1830;31/08/2016;14002;SEG22
CTID57225057;9425-1481-6545-6190;25/08/2016;11460;SEG11
CTID36123729;9391-7086-9113-4893;25/02/2016;4072;SEG20
CTID34235934;4783-2852-8264-4966;29/03/2016;41300;SEG17
CTID91771741;6697-9358-9213-4896;27/08/2016;44842;SEG17
CTID16914224;8870-2780-7399-5151;26/01/2016;4283;SEG14
CTID49981184;8691-3939-1859-5937;09/09/2016;29878;SEG17
CTID87723981;6750-4821-2334-9977;09/11/2016;27120;SEG21
CTID31269003;8341-5263-4582-7396;20/10/2016;1972;SEG19
CTID13278822;3440-1978-8156-5313;15/11/2016;40333;SEG19
CTID80788144;6835-6133-8935-6988;25/06/2016;28751;SEG19
CTID51091446;7377-5503-9688-7953;08/07/2016;34955;SEG16
CTID95565148;3461-8685-2115-2963;16/12/2016;42396;SEG17
CTID18296043;8002-6041-9878-5658;16/03/2016;17329;SEG25
CTID94370405;6514-4444-5642-2615;22/09/2016;36470;SEG17
CTID48519643;8052-5734-6162-9591;12/04/2016;5367;SEG24
CTID42448608;3461-8685-2115-2963;05/07/2016;11884;SEG16
CTID91841117;9138-8487-6675-4521;10/02/2016;35935;SEG19
CTID30293763;2830-1922-3225-5423;21/10/2016;18031;SEG24
CTID73149998;5144-5591-4640-2208;07/04/2016;47900;SEG23
CTID95156861;6531-1690-4324-2760;24/04/2016;7983;SEG24
CTID56393626;3461-8685-2115-2963;12/12/2016;19794;SEG25
CTID18324077;6399-9536-6027-1857;14/12/2016;39417;SEG24
CTID52701307;6244-6800-1680-7174;24/03/2016;27993;SEG14
CTID29053297;6045-2636-8278-8875;11/08/2016;42571;SEG25
CTID96666677;5734-5619-8469-4044;13/09/2016;37975;SEG14
CTID17295494;8217-2336-2393-6960;31/05/2016;32044;SEG18
CTID96641379;6479-5593-2105-9060;26/06/2016;2646;SEG13
CTID22239149;1683-2865-3396-4925;10/11/2016;21842;SEG14
CTID18133843;6876-7378-4945-3251;13/08/2016;23552;SEG22
CTID91939172;4803-9564-9708-3189;20/09/2016;21988;SEG20
CTID38498056;5262-2954-4306-9001;28/08/2016;14168;SEG16
CTID65009094;1661-3809-5334-2155;21/06/2016;38295;SEG11
CTID70313606;1438-6906-2509-8219;24/11/2016;47927;SEG20
CTID66913353;7843-4724-2851-6218;16/02/2016;22830;SEG14
CTID36226968;1355-1728-8274-9593;27/11/2016;34537;SEG24
CTID24108746;5274-7205-2377-3357;08/06/2016;7734;SEG19
CTID49416873;6045-2636-8278-8875;04/02/2016;15059;SEG25
CTID60694669;5587-7265-8118-7718;27/04/2016;16479;SEG24
CTID28520978;5984-2442-3351-3695;12/03/2016;10959;SEG23
CTID95002270;5619-4425-5473-6565;18/07/2016;33817;SEG21
CTID47573501;9873-6894-5872-1884;20/09/2016;11041;SEG18
CTID85938012;9356-9491-6534-8313;13/02/2016;49704;SEG14
CTID89312578;6575-1457-7757-9141;11/01/2016;7541;SEG19
CTID45588186;8228-6661-8736-2838;20/05/2016;43556;SEG18
CTID11506907;1449-4529-1480-3546;18/03/2016;2367;SEG16
CTID83751720;2944-6929-3608-9991;12/02/2016;3756;SEG14
CTID11315192;7908-8365-2086-2481;05/01/2016;33488;SEG21
